Device Type,GENEActiv           ,,,,,,,,,,
Device Model,1.1,,,,,,,,,,
Device Unique Serial Code,58608,,,,,,,,,,
Device Firmware Version,Ver4.08a date14Jul14,,,,,,,,,,
Calibration Date,2020-10-07 15:09:50:000,,,,,,,,,,
Application name & version ,GENEActiv PC Software 3.3,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Measurement Frequency,100.0 Hz,,,,,,,,,,
Start Time,2021-11-23 15:02:26:500,,,,,,,,,,
Last measurement,,,,,,,,,,,
Device Location Code,left wrist,,,,,,,,,,
Time Zone,GMT +00,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Subject Code,,,,,,,,,,,
Date of Birth,01/01/2000,,,,,,,,,,
Sex,female,,,,,,,,,,
Height,170,,,,,,,,,,
Weight,48,,,,,,,,,,
Handedness Code,,,,,,,,,,,
Subject Notes,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Study Centre,BCU                 ,,,,,,,,,,
Study Code,,,,,,,,,,,
Investigator ID,VA                  ,,,,,,,,,,
Exercise Type,,,,,,,,,,,
Config Operator ID,NS                  ,,,,,,,,,,
Config Time,2021-11-23 14:38:11:285:,,,,,,,,,,
Config Notes,,,,,,,,,,,
Extract Operator ID,,,,,,,,,,,
Extract Time,2021-12-10 14:11:00:352,,,,,,,,,,
Extract Notes,(device clock drift 24.647s),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sensor type,MEMS accelerometer x-axis,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,MEMS accelerometer y-axis,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,MEMS accelerometer z-axis ,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,Lux Photodiode 400nm - 1100nm ,,,,,,,,,,
Range,0 to 5000           ,,,,,,,,,,
Resolution,5,,,,,,,,,,
Units,lux                 ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,User button event marker,,,,,,,,,,
Range,1 or 0,,,,,,,,,,
Resolution,,,,,,,,,,,
Units,,,,,,,,,,,
Additional information,1=pressed,,,,,,,,,,
Sensor type,Linear active thermistor,,,,,,,,,,
Range,0 to 70             ,,,,,,,,,,
Resolution,0.1,,,,,,,,,,
Units,deg. C              ,,,,,,,,,,
Additional information,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2021-11-01 00:00:31-10:00,0.7034,-0.0208,0.7557,0,0,32.8,152.51,0.0045,0.0052,0.0081,0
2021-11-01 00:01:31-10:00,0.6586,0.663,-0.6944,0,0,32.9,103.4,0.0045,0.0052,0.0081,2
2021-11-01 00:02:31-10:00,0.2506,0.8059,0.6693,0,0,34,280.93,0.2168,0.0574,0.1674,59
2021-11-01 00:03:31-10:00,0.1929,0.5793,-0.0451,0,0,32.9,190.44,0.0055,0.0052,0.0082,0
2021-11-01 00:04:31-10:00,0.7586,0.4124,-0.6815,39,0,31.2,240.89,0.319,0.2647,0.2583,166
2021-11-01 00:05:31-10:00,-0.6338,0.1151,-0.1073,0,0,32.9,234.29,0.3256,0.5663,0.4498,1
2021-11-01 00:06:31-10:00,0.4394,-0.5569,-0.7781,0,0,31.4,332.69,0.4878,0.0286,0.2335,0
2021-11-01 00:07:31-10:00,-0.7465,0.1422,0.625,0,0,32.9,177.03,0.0081,0.0082,0.0084,3
2021-11-01 00:08:31-10:00,0.2026,-0.0095,0.833,0,0,33.7,136.66,0.0103,0.0079,0.0073,0
2021-11-01 00:09:31-10:00,-0.3743,-0.4969,-0.3153,0,0,33.9,265.14,0.051,0.0052,0.0083,3
2021-11-01 00:10:31-10:00,0.4291,-0.2601,0.2433,0,0,32.4,85.77,0.0171,0.0088,0.0368,2
2021-11-01 00:11:31-10:00,0.6725,0.0027,-0.5213,0,0,34.5,110.88,0.0085,0.0052,0.0078,0
2021-11-01 00:12:31-10:00,0.4665,-0.1062,-0.1682,13,0,34.7,180.45,0.414,0.0459,0.3316,183
2021-11-01 00:13:31-10:00,-0.7038,0.1176,0.127,0,0,27.7,201.84,0.3928,0.5549,0.3998,4
2021-11-01 00:14:31-10:00,-0.6086,0.4034,0.134,0,0,25.1,683.69,0.4169,0.4412,0.6224,7
2021-11-01 00:15:31-10:00,-0.59,0.7623,-0.2003,0,0,31.5,162.67,0.2728,0.2298,0.3833,211
2021-11-01 00:16:31-10:00,-0.3329,0.3858,-0.0181,0,0,30.7,447.13,0.3999,0.3654,0.4146,0
2021-11-01 00:17:31-10:00,-0.5832,-0.1862,-0.0453,0,0,24.5,631.33,0.2143,0.0697,0.2763,4
2021-11-01 00:18:31-10:00,-0.1811,0.2769,-0.8196,45,0,30.6,151.11,0.4945,0.2606,0.2996,168
2021-11-01 00:19:31-10:00,0.6206,0.7884,-0.6143,57,0,33.5,187.27,0.1485,0.0103,0.121,185
2021-11-01 00:20:31-10:00,-0.7769,0.2189,0.0502,0,0,30.4,219.73,0.0532,0.1698,0.1912,0
2021-11-01 00:21:31-10:00,0.4675,0.9546,-0.0696,0,0,29.1,229.66,0.2437,0.0969,0.2547,39
2021-11-01 00:22:31-10:00,0.54,-0.4687,-0.5703,35,0,28.5,222.34,0.4171,0.1598,0.1975,65
2021-11-01 00:23:31-10:00,-0.1835,-0.1666,0.256,0,0,16.8,106.95,0.0068,0.0052,0.0085,0
2021-11-01 00:24:31-10:00,-0.4674,0.7128,-0.5569,0,0,34.7,166.81,0.0076,0.0104,0.1473,4
2021-11-01 00:25:31-10:00,0.8901,-0.0356,0.7781,0,0,33.3,57.91,0.0057,0.0052,0.009,0
2021-11-01 00:26:31-10:00,0.7025,-0.0385,0.7547,0,0,16.5,129.37,0.0045,0.0052,0.0081,6
2021-11-01 00:27:31-10:00,-0.3043,-0.1976,0.268,0,0,27.1,435.65,0.0559,0.0281,0.1666,0
2021-11-01 00:28:31-10:00,0.9595,0.3241,-0.7882,0,0,34.5,59.92,0.0051,0.0052,0.0091,5
2021-11-01 00:29:31-10:00,0.2676,0.5429,-0.7374,0,0,32.3,50.16,0.0103,0.0052,0.0084,5
2021-11-01 00:30:31-10:00,0.6304,0.5161,-0.5956,0,0,34.5,120.84,0.0045,0.0061,0.0097,2
2021-11-01 00:31:31-10:00,-0.5767,0.2843,0.8302,0,0,34.9,154.56,0.0045,0.0052,0.0085,0
2021-11-01 00:32:31-10:00,-0.6032,-0.1313,-0.0231,0,0,35.4,79.77,0.0067,0.0095,0.0083,3
2021-11-01 00:33:31-10:00,0.6406,-0.4869,-0.8854,0,0,34.9,127.27,0.0045,0.0052,0.0077,1
2021-11-01 00:34:31-10:00,0.697,-0.066,0.7616,0,0,16.9,148.11,0.0045,0.0052,0.0082,2
2021-11-01 00:35:31-10:00,-0.5508,-0.587,-0.6429,0,0,34,50.69,0.2359,0.0853,0.1671,0
2021-11-01 00:36:31-10:00,0.1927,0.9619,-0.4545,60,0,32.2,153.94,0.3914,0.1042,0.3933,216
2021-11-01 00:37:31-10:00,-0.6672,-0.7497,-0.347,0,0,34.4,225.07,0.0217,0.0192,0.096,3
2021-11-01 00:38:31-10:00,-0.588,0.1488,0.4933,0,0,28.9,294.11,0.298,0.536,0.1713,3
2021-11-01 00:39:31-10:00,0.9439,0.4324,0.7131,0,0,34.3,139.31,0.0054,0.0052,0.0091,3
2021-11-01 00:40:31-10:00,-0.5173,0.2493,0.9056,0,0,32.2,44.83,0.0093,0.0052,0.0095,1
2021-11-01 00:41:31-10:00,0.9428,0.6066,0.3574,0,0,30.2,531.24,0.3371,0.2805,0.29,58
2021-11-01 00:42:31-10:00,-0.4183,-0.0251,-0.8656,0,0,33.6,83.61,0.0065,0.0063,0.0086,0
2021-11-01 00:43:31-10:00,0.0214,0.569,0.426,29,0,31.3,242.8,0.3065,0.1893,0.111,3
2021-11-01 00:44:31-10:00,0.6631,0.0274,0.7449,0,0,20.2,121.27,0.0045,0.0052,0.0081,3
2021-11-01 00:45:31-10:00,-0.4826,0.2728,0.8129,0,0,35.1,41.75,0.0083,0.0053,0.0112,0
2021-11-01 00:46:31-10:00,-0.7359,-0.6479,-0.3714,0,0,34.9,317.75,0.0045,0.0052,0.0235,1
2021-11-01 00:47:31-10:00,-0.4881,0.389,0.1954,0,0,31.8,180.59,0.0319,0.1294,0.1354,0
2021-11-01 00:48:31-10:00,0.5781,-0.0621,-0.742,0,0,34.9,263.69,0.181,0.0052,0.0081,1
2021-11-01 00:49:31-10:00,-0.3098,-0.795,-0.37,28,0,31.1,125.13,0.011,0.0052,0.1367,119
2021-11-01 00:50:31-10:00,0.8303,-0.1288,0.8083,0,0,31.2,112.01,0.0084,0.0066,0.0083,2
2021-11-01 00:51:31-10:00,0.4925,0.7402,-0.0462,0,0,29.1,196.99,0.2709,0.123,0.2827,3
2021-11-01 00:52:31-10:00,0.6791,-0.0108,-0.8387,0,0,34.7,192.45,0.0045,0.0052,0.0093,4
2021-11-01 00:53:31-10:00,-0.5011,-0.2016,0.2599,0,0,28.3,549.06,0.2,0.0094,0.1818,5
2021-11-01 00:54:31-10:00,-0.4368,0.1363,0.1993,0,0,29.1,819.28,0.3463,0.4252,0.5402,2
2021-11-01 00:55:31-10:00,0.4724,0.5574,0.3559,0,0,30.4,214.54,0.1129,0.2653,0.1653,1
2021-11-01 00:56:31-10:00,-0.2646,0.089,0.0589,0,0,28.1,553.09,0.5236,0.382,0.3508,0
2021-11-01 00:57:31-10:00,-0.7434,-0.2056,0.1366,0,0,30,326.39,0.4245,0.2896,0.4774,4
2021-11-01 00:58:31-10:00,0.8214,0.1883,0.2275,0,0,28.8,180.73,0.0755,0.2831,0.2746,4
2021-11-01 00:59:31-10:00,-0.415,0.2239,-0.3,0,0,28.2,113.97,0.0045,0.0052,0.0081,0
2021-11-01 01:00:31-10:00,-0.6709,-1.0122,-0.7168,0,0,33.6,47.94,0.0103,0.0052,0.0084,1
2021-11-01 01:01:31-10:00,0.8904,0.6313,-0.1455,80,0,30.6,286.38,0.3144,0.2641,0.3418,396
2021-11-01 01:02:31-10:00,-0.318,-0.5253,-0.7598,0,0,31.4,276.36,0.1905,0.2394,0.3115,3
2021-11-01 01:03:31-10:00,0.2871,-0.0296,-0.8465,0,0,34.2,110.42,0.0045,0.0052,0.0093,3
2021-11-01 01:04:31-10:00,-0.6878,-0.153,-0.0785,0,0,28.5,526.01,0.1684,0.4852,0.1567,3
2021-11-01 01:05:31-10:00,-0.4917,0.6229,-0.4928,19,0,30,187.64,0.3622,0.3269,0.3455,366
2021-11-01 01:06:31-10:00,-0.5671,-0.0209,-0.5347,123,0,32,277.92,0.1899,0.324,0.3723,429
2021-11-01 01:07:31-10:00,0.8598,0.4671,-0.6095,0,0,32.2,204.71,0.0059,0.0052,0.0086,0
2021-11-01 01:08:31-10:00,-0.4829,-0.4658,-0.6715,0,0,30.8,39.07,0.0058,0.0052,0.0086,0
2021-11-01 01:09:31-10:00,-0.3091,-0.1599,-0.1748,0,0,28.9,668.25,0.5898,0.4057,0.5618,4
2021-11-01 01:10:31-10:00,-0.3753,0.5083,-0.1941,31,0,25.8,630.9,0.4058,0.2598,0.2312,472
2021-11-01 01:11:31-10:00,-0.774,-0.0347,0.1831,0,0,31.4,63.22,0.0045,0.0052,0.0092,4
2021-11-01 01:12:31-10:00,0.5039,0.0962,-0.8361,0,0,33.6,42.85,0.0072,0.0052,0.0089,2
2021-11-01 01:13:31-10:00,0.9543,-0.0576,0.7173,0,0,30.6,113.88,0.0077,0.0052,0.0086,3
2021-11-01 01:14:31-10:00,0.7346,-0.0366,0.7487,0,0,17,79.8,0.0045,0.0052,0.008,3
2021-11-01 01:15:31-10:00,-0.5745,0.325,0.0695,0,0,34.2,46.3,0.005,0.0053,0.0082,1
2021-11-01 01:16:31-10:00,0.4014,-0.0458,-0.3292,1196,0,31.7,196.85,0.1954,0.2329,0.3332,132
2021-11-01 01:17:31-10:00,-0.463,0.335,-0.6633,0,0,34.2,41.02,0.0045,0.0052,0.008,1
2021-11-01 01:18:31-10:00,-0.1178,-0.1194,-0.6751,12,0,31.8,159.1,0.0607,0.1248,0.3035,33
2021-11-01 01:19:31-10:00,-0.5685,-0.0345,0.2372,45,0,29.3,217.34,0.2965,0.2227,0.3669,56
2021-11-01 01:20:31-10:00,0.4632,0.6996,-0.1704,37,0,28.9,220.73,0.1098,0.1224,0.3196,2
2021-11-01 01:21:31-10:00,0.1118,0.6962,-0.8178,0,0,33.3,108.05,0.0063,0.0052,0.0081,1
2021-11-01 01:22:31-10:00,0.1944,-0.0798,0.8831,0,0,33.6,90.06,0.0079,0.0079,0.0081,2
2021-11-01 01:23:31-10:00,0.8703,0.6385,-0.3919,0,0,28.4,206.4,0.0074,0.0061,0.1475,0
2021-11-01 01:24:31-10:00,0.7173,-0.0384,0.7918,0,0,20.7,129.77,0.0045,0.0052,0.0085,7
2021-11-01 01:25:31-10:00,-0.4999,0.4299,-0.7035,0,0,28.9,238.37,0.1595,0.2337,0.4173,4
2021-11-01 01:26:31-10:00,0.5725,-0.3921,-0.1789,0,0,31.4,165.04,0.0055,0.3525,0.1751,3
2021-11-01 01:27:31-10:00,0.7219,0.2571,0.9471,0,0,28.5,188.17,0.0517,0.1862,0.0437,0
2021-11-01 01:28:31-10:00,0.4415,-0.4223,-0.0622,13,0,30.8,194.84,0.0446,0.0916,0.1593,210
2021-11-01 01:29:31-10:00,0.4947,0.3734,-0.732,16,0,28.2,147.82,0.035,0.0804,0.1716,71
2021-11-01 01:30:31-10:00,0.9216,0.2773,0.3628,0,0,28.9,1012.27,0.1891,0.4337,0.1874,2
2021-11-01 01:31:31-10:00,-0.5142,0.0103,0.7455,0,0,18.6,121.25,0.0045,0.0075,0.008,4
2021-11-01 01:32:31-10:00,-0.2121,0.8212,-0.6839,0,0,33.8,114.47,0.0045,0.0052,0.0071,4
2021-11-01 01:33:31-10:00,0.9098,0.5889,0.0041,0,0,33.9,212.72,0.1243,0.0585,0.3361,4
2021-11-01 01:34:31-10:00,-0.2134,0.7999,-0.4467,107,0,29.4,129.25,0.6137,0.2655,0.4615,58
2021-11-01 01:35:31-10:00,-0.8747,0.5545,-0.186,0,0,28.3,249.11,0.1817,0.1559,0.161,627
2021-11-01 01:36:31-10:00,0.506,0.9108,-0.0031,24,0,31.2,203.84,0.2146,0.3989,0.3409,57
2021-11-01 01:37:31-10:00,-0.6946,-0.2153,-0.1668,0,0,32.4,184.19,0.005,0.0055,0.0092,3
2021-11-01 01:38:31-10:00,0.1374,0.2542,-0.6259,0,0,30.3,110.64,0.0045,0.0077,0.0083,0
2021-11-01 01:39:31-10:00,-0.5338,0.2887,0.5115,0,0,31.7,152.9,0.2281,0.0079,0.0084,3
2021-11-01 01:40:31-10:00,0.9146,0.5143,0.0817,0,0,25.3,763.85,0.3366,0.2914,0.2829,4
2021-11-01 01:41:31-10:00,0.7215,-0.0287,0.7461,0,0,33.6,109.12,0.0058,0.0052,0.0082,4
2021-11-01 01:42:31-10:00,0.9934,0.4242,0.1873,0,0,25.5,162.47,0.2261,0.0485,0.2009,0
2021-11-01 01:43:31-10:00,-0.3172,0.7547,0.9127,0,0,33.7,119.71,0.0108,0.0103,0.1223,0
