Device Type,GENEActiv           ,,,,,,,,,,
Device Model,1.1,,,,,,,,,,
Device Unique Serial Code,58608,,,,,,,,,,
Device Firmware Version,Ver4.08a date14Jul14,,,,,,,,,,
Calibration Date,2020-10-07 15:09:50:000,,,,,,,,,,
Application name & version ,GENEActiv PC Software 3.3,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Measurement Frequency,100.0 Hz,,,,,,,,,,
Start Time,2021-11-23 15:02:26:500,,,,,,,,,,
Last measurement,,,,,,,,,,,
Device Location Code,left wrist,,,,,,,,,,
Time Zone,GMT +00,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Subject Code,,,,,,,,,,,
Date of Birth,01/01/2000,,,,,,,,,,
Sex,female,,,,,,,,,,
Height,170,,,,,,,,,,
Weight,48,,,,,,,,,,
Handedness Code,,,,,,,,,,,
Subject Notes,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Study Centre,BCU                 ,,,,,,,,,,
Study Code,,,,,,,,,,,
Investigator ID,VA                  ,,,,,,,,,,
Exercise Type,,,,,,,,,,,
Config Operator ID,NS                  ,,,,,,,,,,
Config Time,2021-11-23 14:38:11:285:,,,,,,,,,,
Config Notes,,,,,,,,,,,
Extract Operator ID,,,,,,,,,,,
Extract Time,2021-12-10 14:11:00:352,,,,,,,,,,
Extract Notes,(device clock drift 24.647s),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sensor type,MEMS accelerometer x-axis,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,MEMS accelerometer y-axis,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,MEMS accelerometer z-axis ,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,Lux Photodiode 400nm - 1100nm ,,,,,,,,,,
Range,0 to 5000           ,,,,,,,,,,
Resolution,5,,,,,,,,,,
Units,lux                 ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,User button event marker,,,,,,,,,,
Range,1 or 0,,,,,,,,,,
Resolution,,,,,,,,,,,
Units,,,,,,,,,,,
Additional information,1=pressed,,,,,,,,,,
Sensor type,Linear active thermistor,,,,,,,,,,
Range,0 to 70             ,,,,,,,,,,
Resolution,0.1,,,,,,,,,,
Units,deg. C              ,,,,,,,,,,
Additional information,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2022-01-18 00:00:31-10:00,0.4707,0.7509,0.9407,0,0,33.4,99.4,0.0691,0.0052,0.0159,0
2022-01-18 00:01:31-10:00,-0.3119,0.1137,-0.1415,0,0,28.1,1045.37,0.7378,0.3719,0.3672,1
2022-01-18 00:02:31-10:00,-0.6574,0.4549,0.9615,0,0,28.9,181.36,0.1755,0.0052,0.2477,0
2022-01-18 00:03:31-10:00,-0.4053,0.9326,-0.2652,71,0,30.8,199.18,0.3646,0.1012,0.5181,388
2022-01-18 00:04:31-10:00,-0.3313,0.4627,-0.2263,0,0,25.4,361.37,0.1867,0.3596,0.3387,0
2022-01-18 00:05:31-10:00,0.5331,0.4034,-0.1003,0,0,24.7,865.39,0.2111,0.3915,0.4076,3
2022-01-18 00:06:31-10:00,-0.529,0.1603,0.0953,0,0,28.9,319.8,0.2202,0.3853,0.3808,4
2022-01-18 00:07:31-10:00,0.4343,0.5272,-0.7789,127,0,31.6,266.31,0.2997,0.2125,0.2477,77
2022-01-18 00:08:31-10:00,0.7532,0.4794,0.7263,0,0,18.3,184.77,0.006,0.0052,0.0099,3
2022-01-18 00:09:31-10:00,0.8155,0.5108,0.0821,0,0,29.3,121.06,0.1358,0.0085,0.0084,1
2022-01-18 00:10:31-10:00,0.1664,-0.1654,-0.0013,0,0,29.7,176.86,0.1536,0.2117,0.056,54
2022-01-18 00:11:31-10:00,-0.487,-0.3019,-0.4268,14,0,30.4,153.03,0.3199,0.2176,0.2717,34
2022-01-18 00:12:31-10:00,0.6273,0.5952,-0.9029,40,0,31.1,139.77,0.3735,0.1204,0.1035,233
2022-01-18 00:13:31-10:00,0.6731,-0.0448,0.7685,0,0,17.7,109.19,0.0045,0.0052,0.0084,0
2022-01-18 00:14:31-10:00,-0.3381,0.2792,0.419,0,0,28.4,874.05,0.5004,0.6439,0.3443,6
2022-01-18 00:15:31-10:00,-0.5126,0.6162,0.6439,0,0,29.3,198.52,0.3327,0.1864,0.2616,1
2022-01-18 00:16:31-10:00,0.9821,0.4877,-0.8405,0,0,29.9,278.54,0.1465,0.2021,0.2952,0
2022-01-18 00:17:31-10:00,0.3555,0.2823,-0.4443,0,0,35.3,126.6,0.0045,0.0052,0.0083,0
2022-01-18 00:18:31-10:00,-0.0506,-0.3572,0.7279,0,0,33.9,209.77,0.0045,0.0052,0.0081,4
2022-01-18 00:19:31-10:00,0.7063,0.925,0.737,0,0,17.3,114.02,0.0045,0.0052,0.0083,1
2022-01-18 00:20:31-10:00,-0.2153,-0.5928,0.6715,0,0,26.9,35.88,0.0045,0.0052,0.0082,3
2022-01-18 00:21:31-10:00,0.6887,0.0084,0.8038,0,0,19.1,122.12,0.0045,0.0086,0.0082,4
2022-01-18 00:22:31-10:00,0.4603,-0.1712,-0.1445,30,0,28.2,163.67,0.291,0.2343,0.2289,53
2022-01-18 00:23:31-10:00,0.5033,0.9492,-0.8198,199,0,31.7,130.84,0.4949,0.1416,0.7162,265
2022-01-18 00:24:31-10:00,-0.7411,0.3603,-0.0929,0,0,28.9,286.11,0.5506,0.1906,0.2626,0
2022-01-18 00:25:31-10:00,0.6692,-0.0277,0.721,0,0,16.9,151.4,0.0045,0.0052,0.0086,1
2022-01-18 00:26:31-10:00,0.66,-0.0318,0.7584,0,0,15.4,141.41,0.0055,0.0052,0.0089,9
2022-01-18 00:27:31-10:00,-0.6287,-0.0099,0.2764,0,0,22.9,997.85,0.293,0.5681,0.5153,0
2022-01-18 00:28:31-10:00,0.4669,0.694,-0.808,0,0,32.9,38.32,0.0061,0.0089,0.0074,3
2022-01-18 00:29:31-10:00,-0.3575,-0.1786,-0.7335,0,0,32.9,246.91,0.0073,0.0052,0.0083,2
2022-01-18 00:30:31-10:00,0.5998,-0.1324,0.7931,0,0,35.1,113.9,0.0045,0.0052,0.0083,2
2022-01-18 00:31:31-10:00,-0.0056,0.6311,0.2546,28,0,34,163.42,0.1495,0.0745,0.2752,5505
2022-01-18 00:32:31-10:00,-0.4995,-0.1301,0.912,0,0,31.8,251.5,0.2177,0.4492,0.1073,6
2022-01-18 00:33:31-10:00,0.9052,-0.3989,0.0182,0,0,29.9,958.34,0.4347,0.6046,0.4363,0
2022-01-18 00:34:31-10:00,-0.3814,0.3072,0.112,0,0,25.8,1003.77,0.477,0.5549,0.2688,0
2022-01-18 00:35:31-10:00,0.2459,0.5564,-0.8706,27,0,30.9,139.35,0.284,0.3307,0.2934,140
2022-01-18 00:36:31-10:00,0.4197,-0.2988,-0.4521,0,0,28.9,103.96,0.1945,0.0504,0.4817,204
2022-01-18 00:37:31-10:00,-0.8349,-0.2546,-0.827,0,0,27,314.11,0.0057,0.0275,0.0065,0
2022-01-18 00:38:31-10:00,0.8459,-0.0901,-0.8477,0,0,34,97.77,0.0045,0.0106,0.0079,0
2022-01-18 00:39:31-10:00,-0.7987,0.4908,0.8194,0,0,30,187.74,0.2019,0.0631,0.1596,7
2022-01-18 00:40:31-10:00,-0.5497,0.3464,-0.0898,0,0,33.6,328.97,0.2665,0.4337,0.1715,5
2022-01-18 00:41:31-10:00,-0.8155,0.4745,0.1714,0,0,29.8,225.08,0.2803,0.1679,0.3162,0
2022-01-18 00:42:31-10:00,0.72,-0.024,-0.8462,0,0,33.2,136.83,0.0045,0.0052,0.0082,3
2022-01-18 00:43:31-10:00,-0.3592,0.5442,0.1037,0,0,31.4,526.11,0.2742,0.6278,0.0075,2
2022-01-18 00:44:31-10:00,-0.798,0.4318,0.3075,0,0,29.8,84.46,0.1733,0.3365,0.33,0
2022-01-18 00:45:31-10:00,-0.7304,0.561,-0.8238,0,0,35.7,188.74,0.0056,0.0052,0.0088,6
2022-01-18 00:46:31-10:00,-0.4955,0.7813,0.241,0,0,29.5,752.55,0.4651,0.2902,0.1879,2
2022-01-18 00:47:31-10:00,-0.3926,-0.4109,-0.4825,0,0,33.5,419.13,0.346,0.2809,0.2749,1
2022-01-18 00:48:31-10:00,-0.1486,0.4767,0.0941,0,0,27.4,47.2,0.3123,0.3122,0.242,2
2022-01-18 00:49:31-10:00,0.4727,-0.0365,-0.1223,2797,0,30.8,170.7,0.3798,0.2612,0.2791,53
2022-01-18 00:50:31-10:00,0.0225,0.6058,0.8289,0,0,33.1,81.67,0.0045,0.0052,0.0083,1
2022-01-18 00:51:31-10:00,-0.7365,0.8584,-0.4497,20,0,29.3,170.64,0.3699,0.2012,0.6888,42
2022-01-18 00:52:31-10:00,0.477,0.8204,-0.686,35,0,28.6,178.32,0.2617,0.1727,0.3203,367
2022-01-18 00:53:31-10:00,-0.4253,-0.2036,0.1335,0,0,29.6,236.13,0.3023,0.6783,0.2116,3
2022-01-18 00:54:31-10:00,-0.5444,0.5238,-0.8893,45,0,30.6,128.63,0.3948,0.1269,0.3764,156
2022-01-18 00:55:31-10:00,-0.7063,0.2346,-0.4329,0,0,32.6,60.68,0.0045,0.0052,0.0373,0
2022-01-18 00:56:31-10:00,-0.0238,0.6659,0.8949,0,0,33.5,100.17,0.0738,0.0277,0.0793,0
2022-01-18 00:57:31-10:00,0.6005,0.553,-0.3502,0,0,29.3,266.99,0.52,0.1175,0.2156,0
2022-01-18 00:58:31-10:00,0.8164,0.3105,-0.152,0,0,26.2,630.64,0.1768,0.2232,0.2578,4
2022-01-18 00:59:31-10:00,0.1945,0.5692,-0.7478,25,0,28.3,226.24,0.2038,0.2329,0.2383,196
2022-01-18 01:00:31-10:00,0.8749,0.5654,-0.096,0,0,34,425.5,0.19,0.3011,0.5349,0
2022-01-18 01:01:31-10:00,0.9677,-0.07,0.2318,0,0,31.5,298.45,0.4563,0.5056,0.1495,0
2022-01-18 01:02:31-10:00,0.6934,-0.0336,0.734,0,0,15,146.21,0.0045,0.0052,0.0086,6
2022-01-18 01:03:31-10:00,0.6605,-0.0295,0.93,0,0,34.2,135.59,0.0045,0.0069,0.0082,3
2022-01-18 01:04:31-10:00,-0.164,0.4985,0.0456,0,0,28.1,272.73,0.4657,0.6585,0.3718,0
2022-01-18 01:05:31-10:00,-0.5673,-0.7601,-0.8359,0,0,35.3,44.61,0.0045,0.0052,0.0087,0
2022-01-18 01:06:31-10:00,-0.699,0.474,-0.7553,66,0,28.8,184.41,0.0904,0.0937,0.0216,4
2022-01-18 01:07:31-10:00,0.1866,0.921,0.0836,126,0,30.1,156.3,0.1607,0.3344,0.4263,209
2022-01-18 01:08:31-10:00,-0.2842,0.4062,0.1027,30,0,32.2,154.81,0.3813,0.2537,0.5703,54
2022-01-18 01:09:31-10:00,0.6105,0.4619,-0.7608,0,0,32.8,39.51,0.0064,0.0089,0.0082,0
2022-01-18 01:10:31-10:00,0.4853,0.9473,-0.7456,0,0,35.5,47.09,0.0045,0.0052,0.0088,1
2022-01-18 01:11:31-10:00,-0.626,0.8365,-0.5404,0,0,34.4,151.36,0.0045,0.0052,0.0087,2
2022-01-18 01:12:31-10:00,-0.4919,0.8916,-0.395,28,0,28.4,172.86,0.3452,0.0135,0.2642,143
2022-01-18 01:13:31-10:00,0.6508,0.1027,-0.6438,0,0,34.1,233.33,0.0061,0.0052,0.0105,3
2022-01-18 01:14:31-10:00,0.4071,0.6171,-0.1316,37,0,26.7,226.28,0.1519,0.3805,0.3527,61
2022-01-18 01:15:31-10:00,0.3867,0.743,-0.8083,58,0,28.3,154.49,0.0288,0.0519,0.2044,127
2022-01-18 01:16:31-10:00,-0.0606,0.7077,-0.4316,0,0,34.4,224.28,0.01,0.0052,0.0081,3
2022-01-18 01:17:31-10:00,0.6688,-0.4006,-0.7185,0,0,31.6,106.97,0.0045,0.0066,0.0084,1
2022-01-18 01:18:31-10:00,0.7965,0.5511,-0.7647,137,0,30.3,172.79,0.3924,0.2332,0.2203,34
2022-01-18 01:19:31-10:00,-0.4858,0.4207,-0.6172,43,0,28.9,281.53,0.1869,0.0657,0.2006,134
2022-01-18 01:20:31-10:00,-0.0392,-0.0718,-0.6169,16,0,31.7,154.62,0.0355,0.0052,0.0301,165
2022-01-18 01:21:31-10:00,0.5966,-0.3503,0.8062,31,0,30.9,199.73,0.0699,0.0337,0.0232,194
2022-01-18 01:22:31-10:00,-0.5027,0.3925,-0.6003,0,0,17.5,152.79,0.0045,0.0052,0.009,0
2022-01-18 01:23:31-10:00,0.8852,0.0116,-0.7552,0,0,28.9,76.57,0.0076,0.0052,0.0088,0
2022-01-18 01:24:31-10:00,0.3484,0.3289,-0.6592,0,0,17.6,191.26,0.0045,0.0052,0.0085,3
2022-01-18 01:25:31-10:00,-0.5973,0.8476,-0.3719,57,0,31.7,160.65,0.1146,0.0736,0.4608,177
2022-01-18 01:26:31-10:00,-0.7917,-0.03,-0.753,0,0,31.9,47.03,0.3204,0.1854,0.3504,78
2022-01-18 01:27:31-10:00,0.4338,0.6432,-0.8246,59,0,31.6,199.26,0.1718,0.2185,0.477,207
2022-01-18 01:28:31-10:00,-0.3208,0.7804,-0.6915,0,0,32.9,86.15,0.0045,0.0632,0.047,1
2022-01-18 01:29:31-10:00,-0.5482,0.8046,-0.1403,18,0,30.9,184.35,0.3857,0.2406,0.4212,63
2022-01-18 01:30:31-10:00,0.9877,0.1635,0.0008,0,0,27.2,414.48,0.3044,0.403,0.0669,5
2022-01-18 01:31:31-10:00,-0.7133,0.6212,0.2488,0,0,27.3,181.69,0.0067,0.0306,0.1764,5
2022-01-18 01:32:31-10:00,-0.7158,0.4686,-0.2087,14,0,30.1,171,0.3115,0.2329,0.2503,1
2022-01-18 01:33:31-10:00,-0.4147,0.1459,-0.0899,0,0,28.6,619.07,0.4572,0.3938,0.4876,44
2022-01-18 01:34:31-10:00,0.5636,0.961,-0.5066,53,0,30.9,183.93,0.4706,0.1781,0.2436,144
2022-01-18 01:35:31-10:00,-0.9579,-0.2189,0.9238,0,0,34.4,48.17,0.0045,0.0052,0.008,5
2022-01-18 01:36:31-10:00,0.4999,0.5601,0.2893,16,0,29.4,161.18,0.1482,0.3406,0.2921,63
2022-01-18 01:37:31-10:00,-0.0159,0.2923,-0.7492,0,0,35.9,142.83,0.01,0.0052,0.0092,0
2022-01-18 01:38:31-10:00,0.6413,-0.4031,0.004,23,0,30.5,171.36,0.3728,0.2052,0.4036,202
2022-01-18 01:39:31-10:00,-0.6377,0.1956,0.1925,0,0,32.7,244.49,0.1054,0.0093,0.0081,3
2022-01-18 01:40:31-10:00,-0.2638,-0.2274,-0.0515,0,0,25.8,429.16,0.6317,0.2955,0.3301,1
2022-01-18 01:41:31-10:00,0.8752,0.4281,-0.1255,0,0,25.9,801.93,0.559,0.2563,0.4025,3
2022-01-18 01:42:31-10:00,-0.3835,0.4406,-0.8118,0,0,34.6,197.04,0.1439,0.0591,0.5478,0
2022-01-18 01:43:31-10:00,-0.4972,0.4853,-0.3559,0,0,25.6,720.96,0.4772,0.617,0.4088,0
2022-01-18 01:44:31-10:00,-0.6117,0.255,0.2166,0,0,26.4,858.4,0.5747,0.2502,0.3364,5
2022-01-18 01:45:31-10:00,0.5039,-0.4053,-0.9264,0,0,28.8,198.26,0.5677,0.0557,0.1628,0
2022-01-18 01:46:31-10:00,0.7006,0.4494,0.3603,0,0,29.2,282.35,0.3963,0.5263,0.344,5
2022-01-18 01:47:31-10:00,-0.6943,0.1862,-0.8446,0,0,27.5,182.92,0.0045,0.0091,0.0083,4
