Device Type,GENEActiv           ,,,,,,,,,,
Device Model,1.1,,,,,,,,,,
Device Unique Serial Code,58608,,,,,,,,,,
Device Firmware Version,Ver4.08a date14Jul14,,,,,,,,,,
Calibration Date,2020-10-07 15:09:50:000,,,,,,,,,,
Application name & version ,GENEActiv PC Software 3.3,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Measurement Frequency,100.0 Hz,,,,,,,,,,
Start Time,2021-11-23 15:02:26:500,,,,,,,,,,
Last measurement,,,,,,,,,,,
Device Location Code,left wrist,,,,,,,,,,
Time Zone,GMT +00,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Subject Code,,,,,,,,,,,
Date of Birth,01/01/2000,,,,,,,,,,
Sex,female,,,,,,,,,,
Height,170,,,,,,,,,,
Weight,48,,,,,,,,,,
Handedness Code,,,,,,,,,,,
Subject Notes,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Study Centre,BCU                 ,,,,,,,,,,
Study Code,,,,,,,,,,,
Investigator ID,VA                  ,,,,,,,,,,
Exercise Type,,,,,,,,,,,
Config Operator ID,NS                  ,,,,,,,,,,
Config Time,2021-11-23 14:38:11:285:,,,,,,,,,,
Config Notes,,,,,,,,,,,
Extract Operator ID,,,,,,,,,,,
Extract Time,2021-12-10 14:11:00:352,,,,,,,,,,
Extract Notes,(device clock drift 24.647s),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sensor type,MEMS accelerometer x-axis,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,MEMS accelerometer y-axis,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,MEMS accelerometer z-axis ,,,,,,,,,,
Range,-8 to 8             ,,,,,,,,,,
Resolution,0.0039,,,,,,,,,,
Units,g                   ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,Lux Photodiode 400nm - 1100nm ,,,,,,,,,,
Range,0 to 5000           ,,,,,,,,,,
Resolution,5,,,,,,,,,,
Units,lux                 ,,,,,,,,,,
Additional information,,,,,,,,,,,
Sensor type,User button event marker,,,,,,,,,,
Range,1 or 0,,,,,,,,,,
Resolution,,,,,,,,,,,
Units,,,,,,,,,,,
Additional information,1=pressed,,,,,,,,,,
Sensor type,Linear active thermistor,,,,,,,,,,
Range,0 to 70             ,,,,,,,,,,
Resolution,0.1,,,,,,,,,,
Units,deg. C              ,,,,,,,,,,
Additional information,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2022-01-11 00:00:31-10:00,0.3802,0.4455,0.8309,0,0,34.7,81.41,0.0058,0.0052,0.0083,0
2022-01-11 00:01:31-10:00,-0.7131,0.2004,0.2373,0,0,27.4,595.73,0.3604,0.0084,0.3748,3
2022-01-11 00:02:31-10:00,-0.825,-0.5035,-0.6109,0,0,33.5,93.9,0.0048,0.0052,0.0083,0
2022-01-11 00:03:31-10:00,0.3517,0.8393,-0.8694,46,0,34,144.16,0.0168,0.0195,0.065,5
2022-01-11 00:04:31-10:00,-0.6747,0.0785,-0.6546,0,0,34.3,128.72,0.0086,0.0052,0.0081,2
2022-01-11 00:05:31-10:00,0.5474,0.6902,-0.4653,16,0,32.5,212.65,0.2117,0.0564,0.2426,118
2022-01-11 00:06:31-10:00,-0.6916,-0.1592,0.0543,0,0,27.8,281.69,0.3378,0.2712,0.1113,2
2022-01-11 00:07:31-10:00,0.054,0.1416,0.0171,0,0,27.7,361.89,0.3042,0.7061,0.2315,6
2022-01-11 00:08:31-10:00,0.5931,0.4915,-0.9069,23,0,30,168.32,0.1277,0.0118,0.2337,155
2022-01-11 00:09:31-10:00,0.5339,-0.5518,0.7082,0,0,33.8,36.16,0.0045,0.0052,0.008,3
2022-01-11 00:10:31-10:00,-0.2123,0.9185,-0.7554,0,0,34.6,110.99,0.0068,0.0052,0.0121,10
2022-01-11 00:11:31-10:00,-0.272,0.2035,-0.0866,0,0,28.2,464.11,0.5487,0.3511,0.3593,5
2022-01-11 00:12:31-10:00,0.5811,-0.5918,0.9192,0,0,30.8,146.01,0.0114,0.0052,0.0081,2
2022-01-11 00:13:31-10:00,-0.5477,0.2134,0.0134,0,0,28.1,341.58,0.2993,0.3193,0.4051,0
2022-01-11 00:14:31-10:00,0.7961,0.2563,-0.2697,38,0,24.8,142.56,0.2508,0.0917,0.3341,339
2022-01-11 00:15:31-10:00,0.2258,-0.1451,-0.9109,0,0,33.2,266.64,0.0053,0.0055,0.0198,0
2022-01-11 00:16:31-10:00,0.7352,0.0033,0.7555,0,0,18.3,132.12,0.005,0.0052,0.0081,3
2022-01-11 00:17:31-10:00,0.9089,-0.2187,0.0332,20,0,29.2,130.4,0.3886,0.078,0.1895,184
2022-01-11 00:18:31-10:00,-0.4454,0.3224,-0.5922,0,0,33.9,101.05,0.0071,0.0052,0.0087,6
2022-01-11 00:19:31-10:00,0.226,-0.0164,0.7792,0,0,18.7,147.69,0.0045,0.0052,0.0083,0
2022-01-11 00:20:31-10:00,-0.549,0.6531,0.8276,3410,0,31,190.71,0.2321,0.4299,0.3456,47
2022-01-11 00:21:31-10:00,-0.6739,0.4735,-0.8367,62,0,32.6,147.79,0.2205,0.0445,0.1155,51
2022-01-11 00:22:31-10:00,0.9417,0.6363,0.0903,0,0,30.3,176.12,0.205,0.0597,0.2678,35
2022-01-11 00:23:31-10:00,0.7354,0.6646,0.8649,23,0,32.2,179.05,0.5691,0.3715,0.4066,413
2022-01-11 00:24:31-10:00,-0.2945,0.3265,-0.5527,52,0,31.1,177.1,0.0608,0.0821,0.4051,196
2022-01-11 00:25:31-10:00,-0.8176,0.2843,-0.6795,0,0,33.4,216,0.0061,0.0052,0.008,1
2022-01-11 00:26:31-10:00,-0.4191,0.9429,-0.4199,41,0,32.3,148.32,0.2438,0.1452,0.0809,167
2022-01-11 00:27:31-10:00,-0.6356,0.2526,-0.5597,13,0,30.3,145.36,0.4107,0.4213,0.5198,56
2022-01-11 00:28:31-10:00,0.4267,-0.025,-0.1831,0,0,30.3,99.49,0.0045,0.0052,0.044,1
2022-01-11 00:29:31-10:00,-0.1722,0.4461,-0.238,18,0,30.6,178.26,0.5061,0.4096,0.3431,58
2022-01-11 00:30:31-10:00,-0.3199,0.4872,-0.8269,32,0,31.8,181.27,0.1786,0.239,0.3612,207
2022-01-11 00:31:31-10:00,0.1926,-0.4389,-0.7816,0,0,34.4,44.78,0.0108,0.0052,0.0073,0
2022-01-11 00:32:31-10:00,0.737,-0.3638,-0.2565,15,0,30.7,186.92,0.3779,0.1614,0.3806,74
2022-01-11 00:33:31-10:00,0.8823,0.2231,-0.0605,0,0,33.8,248.45,0.3062,0.2763,0.5708,8
2022-01-11 00:34:31-10:00,-0.593,0.3774,0.8191,0,0,32.2,75.45,0.0083,0.0052,0.0067,4
2022-01-11 00:35:31-10:00,0.5481,0.6001,0.9431,0,0,33.7,51.54,0.0045,0.0052,0.0084,0
2022-01-11 00:36:31-10:00,0.51,0.3662,-0.238,0,0,29.3,164.66,0.28,0.6241,0.5566,4
2022-01-11 00:37:31-10:00,0.7391,-0.0245,0.724,0,0,17.5,129.55,0.0045,0.0052,0.0086,9
2022-01-11 00:38:31-10:00,-0.4258,0.2002,-0.5046,0,0,28.4,222.05,0.0189,0.0086,0.0406,0
2022-01-11 00:39:31-10:00,0.872,0.5251,-0.087,29,0,29.3,253.09,0.177,0.2969,0.4747,1176
2022-01-11 00:40:31-10:00,0.2114,0.5515,-0.1349,0,0,30.1,658.84,0.1225,0.2918,0.1384,10
2022-01-11 00:41:31-10:00,0.7611,-0.5232,0.6837,0,0,34.3,174,0.0063,0.0052,0.0087,0
2022-01-11 00:42:31-10:00,0.8476,0.7654,-0.6141,0,0,32.3,133.14,0.0104,0.0081,0.0079,0
2022-01-11 00:43:31-10:00,-0.5184,0.8427,0.0503,0,0,30.8,252.5,0.1863,0.1047,0.1833,0
2022-01-11 00:44:31-10:00,-0.6315,0.2586,0.1781,0,0,24.3,750.58,0.1563,0.5804,0.3088,6
2022-01-11 00:45:31-10:00,0.9236,-0.31,-0.0657,0,0,28.8,262.34,0.2779,0.2237,0.5217,1
2022-01-11 00:46:31-10:00,0.8003,0.3903,-0.4163,39,0,28.1,170.33,0.0236,0.0892,0.3115,70
2022-01-11 00:47:31-10:00,-0.6707,0.3841,0.0561,25,0,27.4,699.67,0.377,0.4471,0.585,65
2022-01-11 00:48:31-10:00,-0.4792,0.4227,-0.7068,0,0,30.4,70.08,0.0045,0.0052,0.0071,3
2022-01-11 00:49:31-10:00,-0.1585,0.3429,0.7512,0,0,35.1,44.48,0.0055,0.0052,0.0135,0
2022-01-11 00:50:31-10:00,-0.4105,0.1928,-0.0951,0,0,28.2,667.17,0.4024,0.3151,0.5052,0
2022-01-11 00:51:31-10:00,-0.4852,0.3888,-0.7626,0,0,34.6,48.14,0.0067,0.0052,0.0083,2
2022-01-11 00:52:31-10:00,-0.6818,0.3032,0.3139,0,0,28.2,548.59,0.3092,0.5894,0.4236,3
2022-01-11 00:53:31-10:00,0.7281,-0.0368,0.7522,0,0,16.9,126.78,0.0054,0.0052,0.0087,4
2022-01-11 00:54:31-10:00,-0.6887,0.2226,0.776,0,0,28.9,191.81,0.357,0.3093,0.3965,0
2022-01-11 00:55:31-10:00,0.3142,0.6458,-0.5099,47,0,32.4,133.46,0.4154,0.2631,0.4584,149
2022-01-11 00:56:31-10:00,-0.7642,0.4479,0.1317,0,0,35.4,267.58,0.2393,0.1853,0.1791,1
2022-01-11 00:57:31-10:00,0.2352,0.425,-0.4112,0,0,28.2,267.28,0.008,0.0052,0.0083,0
2022-01-11 00:58:31-10:00,0.6899,-0.0391,-0.5437,0,0,34.3,41.03,0.0045,0.0052,0.0083,0
2022-01-11 00:59:31-10:00,-0.6723,0.3681,-0.2423,0,0,31.4,302.23,0.3128,0.2377,0.3245,4
2022-01-11 01:00:31-10:00,0.5377,0.5116,-0.6568,0,0,36.1,203.82,0.006,0.0052,0.0068,2
2022-01-11 01:01:31-10:00,-0.5754,-0.3603,0.3373,0,0,28.3,746.75,0.3583,0.4165,0.1598,0
2022-01-11 01:02:31-10:00,0.4647,0.5031,0.5555,0,0,33.6,84.46,0.094,0.0397,0.0237,3
2022-01-11 01:03:31-10:00,0.9597,0.5181,-0.204,0,0,29,488.54,0.3107,0.5903,0.2551,0
2022-01-11 01:04:31-10:00,0.2629,-0.2632,-0.6653,38,0,34.2,149.73,0.0443,0.2948,0.3795,242
2022-01-11 01:05:31-10:00,0.3165,0.2972,0.9029,0,0,34.2,36.39,0.0045,0.0052,0.0095,8
2022-01-11 01:06:31-10:00,-0.2749,0.1948,-0.8031,0,0,27.8,317.44,0.458,0.1027,0.2112,0
2022-01-11 01:07:31-10:00,0.6871,-0.0487,0.7924,0,0,18.8,124.74,0.0045,0.0052,0.009,7
2022-01-11 01:08:31-10:00,-0.5657,0.5037,-0.263,20,0,31.4,1118.65,0.4846,0.6053,0.4874,6
2022-01-11 01:09:31-10:00,-0.5396,0.3644,0.2647,0,0,28.3,1333.94,0.5284,0.6809,0.5384,2
2022-01-11 01:10:31-10:00,-0.4174,0.3148,0.9109,0,0,34.7,116.81,0.0045,0.0052,0.0084,8
2022-01-11 01:11:31-10:00,-0.4423,0.7831,-0.0128,0,0,30.3,108.99,0.0608,0.0068,0.0243,537
2022-01-11 01:12:31-10:00,-0.6124,-0.0636,0.2854,0,0,24.6,424.48,0.6103,0.5821,0.4052,5
2022-01-11 01:13:31-10:00,-0.7832,0.2217,0.2512,0,0,29.6,35.92,0.0067,0.0059,0.0082,2
2022-01-11 01:14:31-10:00,0.6767,0.4208,-0.2929,32,0,30.4,169.25,0.1051,0.3893,0.2912,180
2022-01-11 01:15:31-10:00,0.7441,-0.0191,0.693,0,0,18.4,133.97,0.0045,0.0052,0.0089,4
2022-01-11 01:16:31-10:00,0.5376,0.4345,-0.6883,33,0,30.1,193.99,0.3377,0.237,0.3085,819
2022-01-11 01:17:31-10:00,-0.4911,0.4163,0.287,0,0,25.9,242.65,0.3376,0.2213,0.4449,2
2022-01-11 01:18:31-10:00,0.7325,-0.0318,0.8133,0,0,16.9,88.04,0.0045,0.0052,0.0086,0
2022-01-11 01:19:31-10:00,-0.2679,0.3975,-0.6047,24,0,30.6,125.18,0.0045,0.0058,0.0098,1
2022-01-11 01:20:31-10:00,0.5227,0.9404,0.124,47,0,26.4,181.12,0.1509,0.2293,0.2663,256
2022-01-11 01:21:31-10:00,-0.5202,0.2439,0.373,0,0,29.8,432.92,0.3681,0.5508,0.4518,37
2022-01-11 01:22:31-10:00,-0.5269,0.2637,0.2904,0,0,27.8,1137.57,0.3011,0.3379,0.2199,4
2022-01-11 01:23:31-10:00,0.7049,-0.0212,0.7779,0,0,34.7,162.27,0.0045,0.0052,0.0079,7
2022-01-11 01:24:31-10:00,-0.1965,0.3432,0.1308,0,0,28.7,640.87,0.4708,0.6778,0.4871,1
2022-01-11 01:25:31-10:00,0.316,0.3991,-0.7296,0,0,33.3,72.17,0.0075,0.0052,0.008,2
2022-01-11 01:26:31-10:00,0.856,-0.1354,-0.7638,0,0,31,212.11,0.0686,0.1178,0.0935,49
2022-01-11 01:27:31-10:00,0.9173,0.1689,-0.3096,0,0,28.7,212.41,0.5013,0.359,0.2176,0
2022-01-11 01:28:31-10:00,0.3107,0.289,-0.2865,0,0,27.7,84.03,0.0045,0.0061,0.0084,1
2022-01-11 01:29:31-10:00,-0.6474,0.5914,-0.1624,0,0,28.9,235.21,0.3776,0.1142,0.1786,2
2022-01-11 01:30:31-10:00,-0.2585,0.4366,0.7307,0,0,28.6,49.51,0.0073,0.0052,0.0084,3
2022-01-11 01:31:31-10:00,-0.5781,0.3673,-0.8066,0,0,27.9,311.73,0.3619,0.337,0.2818,206
2022-01-11 01:32:31-10:00,-0.8663,0.086,-0.7613,0,0,34.2,48.84,0.0079,0.0052,0.0081,2
2022-01-11 01:33:31-10:00,0.7306,0.5974,0.8013,0,0,15,121.33,0.0066,0.0052,0.0073,1
2022-01-11 01:34:31-10:00,0.2707,0.3068,-0.2153,0,0,28.2,229.06,0.2957,0.3347,0.0959,52
2022-01-11 01:35:31-10:00,-0.2885,-0.4737,-0.7623,0,0,32.6,180.68,0.0045,0.0059,0.0081,0
2022-01-11 01:36:31-10:00,-0.3177,0.9913,-0.9084,0,0,34.9,286.01,0.085,0.0121,0.0492,0
2022-01-11 01:37:31-10:00,0.5983,0.6964,0.6949,0,0,28.5,118.03,0.0045,0.0052,0.0066,0
2022-01-11 01:38:31-10:00,-0.147,-0.4635,0.9483,0,0,29.5,172.43,0.3676,0.0718,0.2402,3
2022-01-11 01:39:31-10:00,0.6807,0.561,0.759,0,0,33.6,128.64,0.0052,0.0052,0.009,4
2022-01-11 01:40:31-10:00,-0.4967,0.4972,-0.0336,37,0,29.5,187.18,0.5325,0.342,0.3898,74
2022-01-11 01:41:31-10:00,0.9019,0.6235,-0.8863,0,0,28,265.5,0.1359,0.3422,0.391,3
2022-01-11 01:42:31-10:00,0.4913,0.4458,-0.8018,0,0,34.5,112.49,0.0069,0.0052,0.0087,7
2022-01-11 01:43:31-10:00,-0.4286,-0.1191,-0.2679,0,0,30,337.22,0.3551,0.2477,0.11,4
2022-01-11 01:44:31-10:00,0.579,0.5911,-0.0488,14,0,30.5,156.65,0.4177,0.3174,0.3685,36
2022-01-11 01:45:31-10:00,-0.7564,0.2951,0.1382,0,0,24.4,164.72,0.2257,0.0307,0.3572,2
2022-01-11 01:46:31-10:00,0.4982,-0.0677,-0.6856,0,0,33.6,53.54,0.009,0.0052,0.0084,2
2022-01-11 01:47:31-10:00,0.4032,0.3273,-0.0635,0,0,28.5,246.15,0.5863,0.2841,0.4799,225
